https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VET,Volume USDT,tradecount
1613001600000,2021-02-11 00:00:00,VET/USDT,0.035762,0.043486,0.034539,0.042712,3564714572,142321072.079165,452511
1612915200000,2021-02-10 00:00:00,VET/USDT,0.035469,0.038570,0.031500,0.035777,3574551402,125550909.063632,421999
1612828800000,2021-02-09 00:00:00,VET/USDT,0.031419,0.037082,0.030609,0.035446,3769459862,129855655.948473,431070
1612742400000,2021-02-08 00:00:00,VET/USDT,0.029159,0.032336,0.028400,0.031414,2337614828,71126388.166070,241232
1612656000000,2021-02-07 00:00:00,VET/USDT,0.030073,0.030950,0.026672,0.029164,2212789904,63516144.651650,235257
1612569600000,2021-02-06 00:00:00,VET/USDT,0.032168,0.033296,0.028089,0.030072,2895105890,87292862.200317,296076
1612483200000,2021-02-05 00:00:00,VET/USDT,0.027751,0.032441,0.027700,0.032168,2595591569,78917802.406757,274995
1612396800000,2021-02-04 00:00:00,VET/USDT,0.029261,0.029662,0.026929,0.027751,1711109994,48510343.722304,177834
1612310400000,2021-02-03 00:00:00,VET/USDT,0.028204,0.030434,0.028106,0.029255,1649604370,48251228.805532,166333
1612224000000,2021-02-02 00:00:00,VET/USDT,0.029422,0.029773,0.027698,0.028215,1711204915,49084208.012901,173308
1612137600000,2021-02-01 00:00:00,VET/USDT,0.025456,0.029887,0.024412,0.029420,2811946403,76831786.455120,266809
1612051200000,2021-01-31 00:00:00,VET/USDT,0.026919,0.027267,0.024671,0.025456,1355671721,35425202.241860,162501
1611964800000,2021-01-30 00:00:00,VET/USDT,0.027930,0.028248,0.026391,0.026917,1292027276,35385714.257467,141363
1611878400000,2021-01-29 00:00:00,VET/USDT,0.027435,0.029559,0.026552,0.027925,2003366879,56383785.096874,217803
1611792000000,2021-01-28 00:00:00,VET/USDT,0.026415,0.028859,0.025940,0.027432,1241089932,34574763.845724,138429
1611705600000,2021-01-27 00:00:00,VET/USDT,0.029497,0.029515,0.025751,0.026416,1573492439,43041867.757682,170386
1611619200000,2021-01-26 00:00:00,VET/USDT,0.029765,0.030521,0.028081,0.029478,1235252470,36082579.030884,147469
1611532800000,2021-01-25 00:00:00,VET/USDT,0.030688,0.032524,0.029331,0.029785,1583316491,49316764.063782,187573
1611446400000,2021-01-24 00:00:00,VET/USDT,0.030077,0.031967,0.029520,0.030691,1530451077,47207694.267310,177549
1611360000000,2021-01-23 00:00:00,VET/USDT,0.031307,0.032047,0.029217,0.030097,1655329010,50750963.633287,183167
1611273600000,2021-01-22 00:00:00,VET/USDT,0.027971,0.032600,0.025109,0.031308,3023107857,88687973.277551,310194
1611187200000,2021-01-21 00:00:00,VET/USDT,0.034609,0.035433,0.027413,0.027979,4429743455,141153686.231012,456718
1611100800000,2021-01-20 00:00:00,VET/USDT,0.029098,0.035043,0.028500,0.034609,4721720557,150968706.072956,526039
1611014400000,2021-01-19 00:00:00,VET/USDT,0.030939,0.031780,0.028031,0.029107,1749136303,52277767.172406,210972
1610928000000,2021-01-18 00:00:00,VET/USDT,0.027244,0.030979,0.026326,0.030930,2339437800,68061442.441297,281722
1610841600000,2021-01-17 00:00:00,VET/USDT,0.026908,0.028324,0.025001,0.027265,2054747377,54870534.246724,216243
1610755200000,2021-01-16 00:00:00,VET/USDT,0.025324,0.029088,0.025310,0.026906,2313588092,63070393.436063,263690
1610668800000,2021-01-15 00:00:00,VET/USDT,0.025785,0.027094,0.022737,0.025318,2472953234,62348840.838774,252890
1610582400000,2021-01-14 00:00:00,VET/USDT,0.026117,0.027039,0.024529,0.025785,1756390152,45399485.816068,191968
1610496000000,2021-01-13 00:00:00,VET/USDT,0.022985,0.026500,0.021917,0.026102,2107392936,51070794.362036,211869
1610409600000,2021-01-12 00:00:00,VET/USDT,0.024353,0.025700,0.021738,0.023006,2425206845,57271254.989283,253849
1610323200000,2021-01-11 00:00:00,VET/USDT,0.027102,0.027247,0.019446,0.024369,4611762427,105570060.792580,456843
1610236800000,2021-01-10 00:00:00,VET/USDT,0.028911,0.031004,0.024399,0.027121,2775337564,77554909.292863,327965
1610150400000,2021-01-09 00:00:00,VET/USDT,0.027346,0.030063,0.026306,0.028912,1913325745,54318792.581538,211675
