https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT,tradecount
1615766400000,2021-03-15 00:00:00,DOT/USDT,36.453,38.652,33.699,34.330,18687485.3,670504649.4560,749335
1615680000000,2021-03-14 00:00:00,DOT/USDT,37.255,38.049,36.313,36.454,10328726.9,383414454.0753,464145
1615593600000,2021-03-13 00:00:00,DOT/USDT,35.981,38.412,34.740,37.242,12412835.8,460255908.0570,536385
1615507200000,2021-03-12 00:00:00,DOT/USDT,36.954,37.552,34.386,35.957,12707699.1,456788945.5274,562112
1615420800000,2021-03-11 00:00:00,DOT/USDT,37.596,38.111,35.879,36.957,15347670.4,567725086.7134,684912
1615334400000,2021-03-10 00:00:00,DOT/USDT,38.293,39.635,36.318,37.584,21562003.8,823660192.9237,962596
1615248000000,2021-03-09 00:00:00,DOT/USDT,35.025,38.962,34.576,38.291,20194589.0,740975538.3113,851491
1615161600000,2021-03-08 00:00:00,DOT/USDT,35.140,35.603,33.463,35.023,11075215.3,380875477.5607,524277
1615075200000,2021-03-07 00:00:00,DOT/USDT,33.405,35.371,33.404,35.132,10300042.8,354449759.5988,500503
1614988800000,2021-03-06 00:00:00,DOT/USDT,33.643,34.251,32.090,33.395,11070924.7,368140668.2551,496538
1614902400000,2021-03-05 00:00:00,DOT/USDT,35.277,35.304,31.364,33.640,19390318.3,643024828.6798,833681
1614816000000,2021-03-04 00:00:00,DOT/USDT,37.041,38.413,34.387,35.277,16195851.8,588587310.5430,715032
1614729600000,2021-03-03 00:00:00,DOT/USDT,36.148,38.742,36.096,37.043,16145054.1,606813833.2052,739165
1614643200000,2021-03-02 00:00:00,DOT/USDT,35.675,37.976,34.387,36.136,20430023.0,739060603.5884,970368
1614556800000,2021-03-01 00:00:00,DOT/USDT,33.817,35.711,33.024,35.677,16295645.1,562731104.0214,841180
1614470400000,2021-02-28 00:00:00,DOT/USDT,33.486,34.543,29.692,33.805,24909468.0,791288843.4020,1191654
1614384000000,2021-02-27 00:00:00,DOT/USDT,31.444,35.700,31.335,33.491,25696093.9,873896279.7093,1109871
1614297600000,2021-02-26 00:00:00,DOT/USDT,31.255,33.528,27.953,31.449,28569767.9,876768081.2772,1204654
1614211200000,2021-02-25 00:00:00,DOT/USDT,33.656,35.263,30.860,31.240,16301674.8,545971607.5870,772377
1614124800000,2021-02-24 00:00:00,DOT/USDT,34.554,36.840,31.839,33.642,23026108.6,799430877.9286,1010076
1614038400000,2021-02-23 00:00:00,DOT/USDT,37.660,37.904,26.116,34.544,40564480.5,1326332104.2139,1790206
1613952000000,2021-02-22 00:00:00,DOT/USDT,39.629,39.815,30.038,37.663,31628718.7,1141837020.6033,1202012
1613865600000,2021-02-21 00:00:00,DOT/USDT,38.976,40.636,38.095,39.632,18338418.7,717883576.5198,890977
1613779200000,2021-02-20 00:00:00,DOT/USDT,34.878,42.395,34.752,38.979,35310361.0,1378102575.3266,1582684
1613692800000,2021-02-19 00:00:00,DOT/USDT,31.155,35.098,29.553,34.872,19566331.1,638312032.8311,808295
1613606400000,2021-02-18 00:00:00,DOT/USDT,31.987,32.699,30.581,31.156,10578478.3,333358546.2560,487881
1613520000000,2021-02-17 00:00:00,DOT/USDT,30.129,32.547,29.655,31.988,20888293.7,647263229.2139,878055
1613433600000,2021-02-16 00:00:00,DOT/USDT,27.842,31.100,26.797,30.120,27106901.2,805001272.2712,1056503
1613347200000,2021-02-15 00:00:00,DOT/USDT,26.939,29.641,23.000,27.831,28367677.7,764135003.3903,1002070
1613260800000,2021-02-14 00:00:00,DOT/USDT,28.077,29.517,26.410,26.931,15452172.9,430897316.2674,573139
1613174400000,2021-02-13 00:00:00,DOT/USDT,28.705,30.328,27.232,28.073,21188201.6,609898466.9911,767814
1613088000000,2021-02-12 00:00:00,DOT/USDT,25.063,29.850,24.525,28.702,24039557.8,656586179.2915,744055
1613001600000,2021-02-11 00:00:00,DOT/USDT,23.616,25.800,23.230,25.060,21511694.7,536794884.5324,716575
1612915200000,2021-02-10 00:00:00,DOT/USDT,23.116,25.053,21.789,23.615,27330060.5,643333852.7259,824754
1612828800000,2021-02-09 00:00:00,DOT/USDT,23.050,24.269,22.250,23.126,18748202.3,435206367.9583,661978
1612742400000,2021-02-08 00:00:00,DOT/USDT,19.765,23.777,19.200,23.040,34084912.5,750126408.1984,987286
1612656000000,2021-02-07 00:00:00,DOT/USDT,20.405,20.850,18.403,19.765,20961242.6,412639842.3441,636257
1612569600000,2021-02-06 00:00:00,DOT/USDT,20.873,21.509,19.839,20.405,17725677.8,361865977.3335,519801
1612483200000,2021-02-05 00:00:00,DOT/USDT,19.695,21.472,19.377,20.881,25124472.5,520351546.4352,723039
1612396800000,2021-02-04 00:00:00,DOT/USDT,20.879,21.946,19.010,19.695,35648972.7,730860892.0433,1038741
1612310400000,2021-02-03 00:00:00,DOT/USDT,17.216,20.970,16.864,20.880,38717930.2,739056414.9073,1092535
1612224000000,2021-02-02 00:00:00,DOT/USDT,16.466,17.704,16.065,17.213,18555700.4,313573026.0787,606634
1612137600000,2021-02-01 00:00:00,DOT/USDT,16.144,16.579,15.703,16.468,10333533.1,166371384.8674,415581
1612051200000,2021-01-31 00:00:00,DOT/USDT,16.553,17.602,15.655,16.144,13949745.9,230759664.5999,514238
1611964800000,2021-01-30 00:00:00,DOT/USDT,16.833,17.099,16.126,16.550,12136769.3,200789265.3608,431316
1611878400000,2021-01-29 00:00:00,DOT/USDT,16.897,17.820,16.000,16.831,21195359.2,357048905.8435,659729
1611792000000,2021-01-28 00:00:00,DOT/USDT,15.448,17.506,15.276,16.896,19734954.4,330261205.3361,547082
1611705600000,2021-01-27 00:00:00,DOT/USDT,17.123,17.148,15.065,15.451,22808197.9,361110327.9329,613913
1611619200000,2021-01-26 00:00:00,DOT/USDT,17.215,17.809,16.030,17.117,17951438.2,303606025.7913,542666
1611532800000,2021-01-25 00:00:00,DOT/USDT,18.003,19.170,17.082,17.216,23728209.4,431040013.5526,658948
1611446400000,2021-01-24 00:00:00,DOT/USDT,18.774,18.786,17.230,18.002,20148331.4,361186108.1514,561707
1611360000000,2021-01-23 00:00:00,DOT/USDT,17.134,18.848,16.804,18.771,32037873.3,572932778.7209,904266
1611273600000,2021-01-22 00:00:00,DOT/USDT,16.016,18.021,14.666,17.134,39246882.0,649739580.9223,1088193
1611187200000,2021-01-21 00:00:00,DOT/USDT,18.022,18.200,14.936,16.010,48007550.6,791152347.0915,1180121
1611100800000,2021-01-20 00:00:00,DOT/USDT,16.411,18.273,14.800,18.017,43651933.4,716123184.7377,1072566
1611014400000,2021-01-19 00:00:00,DOT/USDT,16.595,17.579,16.019,16.411,25134220.9,423131350.2493,704651
1610928000000,2021-01-18 00:00:00,DOT/USDT,17.090,18.250,15.801,16.601,30254407.6,518499042.0585,819942
1610841600000,2021-01-17 00:00:00,DOT/USDT,17.946,18.252,16.281,17.091,50857981.8,877515645.8837,1324979
1610755200000,2021-01-16 00:00:00,DOT/USDT,13.158,19.492,13.152,17.943,85164987.8,1421706363.4831,1992957
1610668800000,2021-01-15 00:00:00,DOT/USDT,14.530,15.021,11.771,13.158,69143443.5,942970479.7374,1434609
1610582400000,2021-01-14 00:00:00,DOT/USDT,10.964,14.799,10.900,14.500,65840041.9,809050764.9496,1324380
1610496000000,2021-01-13 00:00:00,DOT/USDT,8.301,11.423,7.980,10.955,41110779.5,405259390.1754,845836
1610409600000,2021-01-12 00:00:00,DOT/USDT,8.262,8.717,7.927,8.299,17754425.6,147137901.2353,389047
1610323200000,2021-01-11 00:00:00,DOT/USDT,9.306,9.341,7.080,8.269,49149219.2,389843194.3078,1010159
1610236800000,2021-01-10 00:00:00,DOT/USDT,9.762,10.036,8.635,9.306,22581383.8,213488607.8714,431836
1610150400000,2021-01-09 00:00:00,DOT/USDT,9.306,9.866,9.051,9.756,17809407.2,167745053.6076,347261
1610064000000,2021-01-08 00:00:00,DOT/USDT,9.663,9.846,8.800,9.303,25356450.5,235551158.5529,506061
1609977600000,2021-01-07 00:00:00,DOT/USDT,10.089,10.757,9.350,9.660,32630386.9,326369916.0900,637588
1609891200000,2021-01-06 00:00:00,DOT/USDT,9.736,10.550,9.463,10.082,30740975.8,305774220.1708,576016
